Ticker,Description,Price,Change %,Change,High,Low,Volume,Volume 24h in -usd,Volume 24h Change %,Technical Rating,Exchange
MSOL-usd,Marinade staked SOL / United States Dollar,14.57,2.6056338,0.37,14.57,14.29,171.051,13170.61094,-25.98499083,Neutral,COINBASE
ENSEUR,Ethereum Name Service / Euro,13.31,0.90978014,0.12,13.31,13.3,7,13099.32591303,-74.80059906,Neutral,COINBASE
TIME-usdT,Chrono.tech / Tether,65.87,-3.18930041,-2.17,69.61,65.09,182.612,12477.56463839,-11.72900315,Sell,COINBASE
OMGBTC,OMG Network / Bitcoin,0.00007013,0.30034325,2.1e-7,0.00007013,0.00006972,234.4,12320.98779555,-38.91862832,Sell,COINBASE
ENJ-usdT,Enjin Coin / Tether,0.302,-3.82165605,-0.012,0.326,0.302,38318.17,11976.38750845,117.48806444,Sell,COINBASE
LCX-usdT,LCX Token / Tether,0.0403,-2.18446602,-0.0009,0.0417,0.04,214653,11728.21855556,-0.70616521,Sell,COINBASE
WAXL-usd,Wrapped Axelar / United States Dollar,0.5254,-0.30360531,-0.0016,0.5272,0.5218,6061.11,11538.399405,8.24518432,Sell,COINBASE
LINKETH,Chainlink / Ether,0.00582694,-0.25317842,-0.00001479,0.00583285,0.00581792,5.04,11415.63334767,-69.99107638,Buy,COINBASE
BNT-usd,Bancor / United States Dollar,0.3787,1.0945008,0.0041,0.3787,0.376,524.709242,11074.95712676,-11.54454207,Neutral,COINBASE
BIT-usd,BitDAO / United States Dollar,0.3076,0.72036673,0.0022,0.3076,0.306,2371.58,10855.098456,13.2395834,Sell,COINBASE
DESO-usdT,Decentralized Social / Tether,9.36,0.64516129,0.06,9.39,9.12,108.277,10833.97639097,52.34995891,Sell,COINBASE
ETCGBP,Ether Classic / British Pound,15.83,0.95663265,0.15,15.83,15.72,76.0482011,10758.51406855,-68.79554728,Sell,COINBASE
KRL-usd,kryll / United States Dollar,0.2921,-0.03422313,-0.0001,0.2942,0.2919,459.9,10324.90976,-42.26244217,Sell,COINBASE
ERN-usdT,Ethernity Chain / Tether,2.01,-1.47058824,-0.03,2.3,2.01,4503.054,10222.32874023,49.45130131,Sell,COINBASE
RLY-usdT,Rally / Tether,0.0104,-1.88679245,-0.0002,0.0104,0.0103,40890,10166.2639362,245.06192418,Sell,COINBASE
XTZGBP,Tezos / British Pound,0.812,0.24691358,0.002,0.813,0.812,430.91,10095.29892886,-70.03330592,Sell,COINBASE
NEST-usdT,Nest Protocol / Tether,0.0232,-2.15099114,-0.00051,0.02355,0.02317,433152,10077.02081533,-11.25463298,Buy,COINBASE
ENS-usdT,Ethereum Name Service / Tether,14.01,0.86393089,0.12,14.01,13.98,18.307,10060.35364667,-55.42354309,Buy,COINBASE
REP-usd,Augur / United States Dollar,5.75,1.41093474,0.08,5.8,5.7,313.794001,9902.79279364,-69.01057096,Sell,COINBASE
COMPBTC,Compound / Bitcoin,0.002198,0.27372263,0.000006,0.002201,0.002188,11.506,9843.42780849,-4.50626782,Sell,COINBASE
BNTEUR,Bancor / Euro,0.358,-1.91780822,-0.007,0.372,0.357,25252.885907,9736.66528872,168.99418447,Sell,COINBASE
ZRXBTC,0x / Bitcoin,0.00001125,0.35682426,4e-8,0.00001125,0.00001119,819.99727,9648.90854816,-71.08200578,Sell,COINBASE
FOX-usd,ShapeShift FOX Token / United States Dollar,0.0325,0.61919505,0.0002,0.0331,0.0321,10271.2,9641.1172,20.12860834,Sell,COINBASE
RLCBTC,iExec RLC / Bitcoin,0.0000635,-0.31397174,-2e-7,0.0000638,0.0000635,4.03,9570.11122525,504.67056897,Buy,COINBASE
PAX-usdT,Paxos Standard / Tether,1.0014,-0.99851705,-0.0101,1.0014,0.9941,9562.93,9545.2995162,15606.78211332,Buy,COINBASE
RLYGBP,Rally / British Pound,0.0086,0,0,0.0086,0.0086,102678,9069.99342876,88.42929774,Sell,COINBASE
FILGBP,Filecoin / British Pound,3.63,0.83333333,0.03,3.63,3.62,12.672,8890.93011369,-68.87577293,Sell,COINBASE
ORNBTC,Orion Protocol / Bitcoin,0.0000588,0.34129693,2e-7,0.0000588,0.0000588,2.25,8836.66102798,-76.28331572,Buy,COINBASE
TRBBTC,Tellor / Bitcoin,0.0007965,0.8355488,0.0000066,0.0007965,0.0007921,450.129,8716.45397687,65.42473749,Buy,COINBASE
SAND-usdT,The Sandbox / Tether,0.581,0.6932409,0.004,0.581,0.58,485.93,8683.42739117,-66.7743015,Neutral,COINBASE
CRO-usdT,Crypto.com Coin / Tether,0.0643,0.62597809,0.0004,0.0643,0.0641,939.4,8412.38593508,-14.74065312,Sell,COINBASE
CROEUR,Crypto.com Coin / Euro,0.0606,-1.94174757,-0.0012,0.062,0.0606,94209,8326.45353405,9.64760473,Sell,COINBASE
BICOEUR,Biconomy / Euro,0.2937,0.61664954,0.0018,0.2937,0.2919,2857.7,8260.04141191,-20.91655977,Sell,COINBASE
SNT-usd,Status / United States Dollar,0.02295,-1.07758621,-0.00025,0.02367,0.02279,286720.6,8221.493531,-52.4648199,Sell,COINBASE
SUPER-usdT,SuperFarm / Tether,0.10409,1.53140851,0.00157,0.10409,0.103,38814.73,8175.01883307,134.7242264,Sell,COINBASE
UNIGBP,Uniswap / British Pound,5,0.80645161,0.04,5,5,2.528,8135.80739825,-70.04701096,Neutral,COINBASE
NEST-usd,Nest Protocol / United States Dollar,0.02324,0.04304778,0.00001,0.02336,0.0232,5096,7933.37627,-80.8031583,Buy,COINBASE
DAR-usd,Mines of Dalarnia / United States Dollar,0.136,-0.72992701,-0.001,0.136,0.136,31.79,7626.47544,-54.52613294,Sell,COINBASE
RLYEUR,Rally / Euro,0.0098,-2,-0.0002,0.01,0.0097,133185,7490.00832147,62.75099861,Sell,COINBASE
STX-usdT,Stacks / Tether,0.248,0.81300813,0.002,0.248,0.2468,1128.38,7475.79641507,-9.19312373,Neutral,COINBASE
ALCXEUR,Alchemix / Euro,17.28,1.28956624,0.22,17.35,17.28,3.0575,7207.09916021,46.74274716,Sell,COINBASE
POND-usdT,Marlin / Tether,0.00881,-3.39912281,-0.00031,0.00913,0.00881,768258,6940.2118135,-33.79579981,Sell,COINBASE
SKLEUR,SKALE / Euro,0.0259,0.3875969,0.0001,0.0261,0.0259,48029.1,6858.81953713,-39.3032592,Sell,COINBASE
POWR-usd,Power Ledger / United States Dollar,0.151,0.13262599,0.0002,0.1512,0.1506,535.3,6735.55885,4.24557816,Sell,COINBASE
MTL-usd,Metal / United States Dollar,0.764,0.92470277,0.007,0.764,0.763,297.57,6431.41295,-30.94158568,Neutral,COINBASE
GRTBTC,The Graph / Bitcoin,0.00000373,0.2688172,1e-8,0.00000374,0.00000371,3094.09,6380.17665814,-80.33217653,Sell,COINBASE
POLS-usdT,Polkastarter / Tether,0.3731,-1.5307469,-0.0058,0.3848,0.3726,16745.74,6338.67463717,-62.86229939,Sell,COINBASE
ORN-usdT,Orion Protocol / Tether,0.989,-9.18273646,-0.1,1.149,0.989,5791.29,6205.55618853,-75.56103575,Sell,COINBASE
FX-usd,Function X / United States Dollar,0.1714,-0.5800464,-0.001,0.1722,0.1706,295.2,6176.54004,-40.6135625,Sell,COINBASE
DREP-usd,Drep / United States Dollar,0.3131,-1.44790683,-0.0046,0.317,0.3131,975.14,6029.445645,16.29414667,Sell,COINBASE
RNDREUR,Render Token / Euro,0.4912,3.28006728,0.0156,0.4924,0.4912,12.79,6016.46758341,25.3275025,Neutral,COINBASE
FIS-usdT,Stafi / Tether,0.3117,0.38647343,0.0012,0.3117,0.3043,13254.8,6015.30217554,-45.79493779,Buy,COINBASE
CGLDGBP,Celo / British Pound,0.473,-0.21097046,-0.001,0.488,0.473,1257.15,5965.12844649,-67.45481091,Sell,COINBASE
SPELL-usdT,Spell Token / Tether,0.0006208,-1.97378809,-0.0000125,0.0006441,0.0006208,8886691,5618.4232811,-77.42261198,Strong Sell,COINBASE
BALBTC,Balancer / Bitcoin,0.0003562,0.17154588,6.1e-7,0.00035629,0.00035559,1.27,5550.46810687,-70.22968959,Buy,COINBASE
BNTGBP,Bancor / British Pound,0.3091,-1.02465578,-0.0032,0.3165,0.3091,11517.149077,5338.37496317,-46.43560382,Sell,COINBASE
DDX-usdT,DerivaDAO / Tether,0.4771,-0.39665971,-0.0019,0.478,0.477,90.67,5337.67246901,115.05987385,Sell,COINBASE
IMX-usdT,ImmutableX / Tether,0.4729,-0.16888326,-0.0008,0.4733,0.4729,81.96,5303.11528533,5.89359148,Sell,COINBASE
MATH-usdT,MATH / Tether,0.1157,1.66959578,0.0019,0.1224,0.1138,42481.6,5295.69290627,-62.35402729,Sell,COINBASE
NMRBTC,Numeraire / Bitcoin,0.000684,-0.29154519,-0.000002,0.0006869,0.0006834,1.091,5263.51842925,-54.73721049,Neutral,COINBASE
ANKREUR,Ankr / Euro,0.02055,0.83415113,0.00017,0.02055,0.02055,560,5200.35746737,-96.66012846,Sell,COINBASE
PRQ-usdT,PARSIQ / Tether,0.0821,1.10837438,0.0009,0.0821,0.0818,1349.6,5181.75671606,109.18704485,Neutral,COINBASE
MIRBTC,Mirror Protocol / Bitcoin,0.00000779,-0.12820513,-1e-8,0.00000782,0.00000779,123.28,5152.36819889,-86.4775927,Sell,COINBASE
LCXEUR,LCX Token / Euro,0.0384,-2.29007634,-0.0009,0.0394,0.038,92220.2,5119.69160367,324.25649417,Sell,COINBASE
BCHGBP,Bitcoin Cash / British Pound,89.42,-2.42252292,-2.22,91.14,89.42,45.8751679,5095.42969505,-12.56268861,Sell,COINBASE
BNTBTC,Bancor / Bitcoin,0.00002227,-0.13452915,-3e-8,0.00002244,0.00002227,169,5046.50508257,630.91408526,Sell,COINBASE
RAI-usd,Rai Reflex Index / United States Dollar,2.8,-0.70921986,-0.02,2.83,2.77,1787.97,4974.4201,107.94739685,Strong Sell,COINBASE
SKLGBP,SKALE / British Pound,0.0223,0.90497738,0.0002,0.0223,0.0222,12739,4860.06604732,-52.00579147,Sell,COINBASE
MDT-usdT,Measurable Data Token / Tether,0.0243,-3.87658228,-0.00098,0.02527,0.0243,193001,4825.39209664,-25.80456326,Neutral,COINBASE
SUSHIETH,SushiSwap / Ether,0.0010708,0.26217228,0.0000028,0.0011095,0.0010575,3299.13,4817.59965105,-5.17133085,Buy,COINBASE
XYOEUR,XYO / Euro,0.00408,0.71587262,0.000029,0.00408,0.00408,1800,4669.57525261,-38.33183187,Sell,COINBASE
MINA-usdT,Mina / Tether,0.563,-1.7452007,-0.01,0.587,0.563,4610.742,4580.52311882,156.84913848,Sell,COINBASE
CLVGBP,Clover Finance / British Pound,0.0534,-0.18691589,-0.0001,0.0563,0.0526,67194.19,4450.62140648,-70.37406696,Sell,COINBASE
SUKU-usdT,SUKU / Tether,0.0546,-1.08695652,-0.0006,0.0546,0.0525,80016.9,4447.99980715,-64.51522529,Sell,COINBASE
ZEN-usdT,Horizen / Tether,10.75,1.03383459,0.11,10.92,10.63,393.742,4301.93208111,-72.7219276,Neutral,COINBASE
1INCHGBP,1Inch / British Pound,0.397,-3.17073171,-0.013,0.412,0.395,8589.86,4293.76521787,-41.67862885,Strong Sell,COINBASE
UMABTC,UMA / Bitcoin,0.00009986,0.21073758,2.1e-7,0.00010013,0.00009986,13.983,4247.98412176,66.91581791,Sell,COINBASE
FARM-usdT,Harvest Finance / Tether,35.6,-1.76600442,-0.64,37.12,35.6,116.346,4171.24032682,-54.8667631,Buy,COINBASE
NMRGBP,Numeraire / British Pound,9.46,-0.21097046,-0.02,9.5,9.44,32.924,4100.2628308,-76.9239603,Neutral,COINBASE
ETHDAI,Ether / Dai,1245.41,0.34080472,4.23,1245.41,1242.39,0.0043,3813.12506814,-54.82071172,Sell,COINBASE
TRUEUR,TrueFi / Euro,0.0364,-3.19148936,-0.0012,0.0416,0.0364,92191.9,3691.54082025,913.81707476,Sell,COINBASE
GMT-usdT,STEPN / Tether,0.3873,0.23291925,0.0009,0.388,0.3873,30.36,3661.50440092,75.25714392,Sell,COINBASE
WCFGBTC,Wrapped Centrifuge / Bitcoin,0.00001275,-0.07836991,-1e-8,0.00001276,0.00001275,361.98,3605.72440516,34.7762881,Sell,COINBASE
TRACEUR,OriginTrail / Euro,0.1875,0.26737968,0.0005,0.189,0.1861,903,3594.67170714,117.20368685,Buy,COINBASE
XTZEUR,Tezos / Euro,0.95,0,0,0.95,0.95,163.97,3594.28436874,-18.77558366,Sell,COINBASE
ANKRGBP,Ankr / British Pound,0.01761,0.3990878,0.00007,0.01761,0.01761,4080,3545.67993787,-92.71573103,Sell,COINBASE
HOPR-usd,Hopr Token / United States Dollar,0.0577,1.9434629,0.0011,0.0585,0.0566,2971,3480.22656,-57.90205423,Neutral,COINBASE
OGNBTC,Origin Token / Bitcoin,0.00000626,0.80515298,5e-8,0.00000629,0.00000623,2265.87,3421.86109686,-83.33084123,Sell,COINBASE
ERNEUR,Ethernity Chain / Euro,1.91,1.59574468,0.03,2.19,1.91,1500.483,3231.71915393,625.09750556,Sell,COINBASE
WAMPL-usdT,Wrapped Ampleforth / Tether,3.41,-1.44508671,-0.05,3.48,3.37,873.664,3127.48680103,-53.28971504,Sell,COINBASE
WCFGGBP,Wrapped Centrifuge / British Pound,0.19,0,0,0.19,0.19,12162.77,2958.99029052,317625.5000024,Sell,COINBASE
SHPING-usdT,Shping / Tether,0.005495,3.28947368,0.000175,0.005496,0.005298,516406,2833.19989071,-72.43112764,Neutral,COINBASE
ROSE-usdT,Oasis Network / Tether,0.047,1.29310345,0.0006,0.047,0.0465,3937.8,2803.49937145,-64.61630703,Sell,COINBASE
